date,predicted_sales,lower_bound,upper_bound
2026-03-19,323015.11986776185,44835.64124851959,601194.5984870042
2026-03-20,355799.87895666837,58168.960069059394,653430.7978442773
2026-03-21,497812.4466127157,185088.92741166754,810535.9658137639
2026-03-22,462315.06073832855,135359.37950194528,789270.7419747119
2026-03-23,264010.7647401247,-76573.86590009852,604595.395380348
2026-03-24,275645.6840253196,-78042.61450117058,629333.9825518097
2026-03-25,287352.8317942581,-78970.67867102643,653676.3422595426
2026-03-26,319324.55961837294,-71014.87009510124,709663.989331847
2026-03-27,344406.75278043543,-61238.869631040376,750052.3751919112
2026-03-28,550612.3213777333,130581.89478105836,970642.7479744081
2026-03-29,493945.40097294934,60026.79902903532,927864.0029168634
2026-03-30,284596.901324016,-162777.83296532952,731971.6356133615
2026-03-31,277397.1135888247,-183040.60838489782,737834.8355625472
2026-04-01,306084.21315121936,-167055.97273782385,779224.3990402626
