sale_id,sale_date,total_amount,total_cost,profit,user_id,cashier_name,items_count,date,year,month,day,day_of_week,week_of_year,is_weekend
67,2025-10-26 00:00:00,7500.0,4750.0,2750.0,2,Cashier User,2,2025-10-26,2025,10,26,6,43,1
60,2025-10-26 01:00:00,4500.0,2850.0,1650.0,1,Shop Owner,1,2025-10-26,2025,10,26,6,43,1
73,2025-10-26 01:00:00,1500.0,950.0,550.0,2,Cashier User,1,2025-10-26,2025,10,26,6,43,1
75,2025-10-26 01:00:00,12000.0,7650.0,4350.0,1,Shop Owner,3,2025-10-26,2025,10,26,6,43,1
65,2025-10-26 04:00:00,9000.0,5850.0,3150.0,2,Cashier User,2,2025-10-26,2025,10,26,6,43,1
57,2025-10-26 05:00:00,42000.0,33200.0,8800.0,1,Shop Owner,4,2025-10-26,2025,10,26,6,43,1
69,2025-10-26 05:00:00,29500.0,23250.0,6250.0,2,Cashier User,4,2025-10-26,2025,10,26,6,43,1
54,2025-10-26 06:00:00,16000.0,13000.0,3000.0,2,Cashier User,1,2025-10-26,2025,10,26,6,43,1
68,2025-10-26 06:00:00,30000.0,23300.0,6700.0,1,Shop Owner,2,2025-10-26,2025,10,26,6,43,1
59,2025-10-26 07:00:00,51000.0,41000.0,10000.0,1,Shop Owner,4,2025-10-26,2025,10,26,6,43,1
72,2025-10-26 07:00:00,3000.0,2000.0,1000.0,2,Cashier User,1,2025-10-26,2025,10,26,6,43,1
50,2025-10-26 08:00:00,18500.0,12900.0,5600.0,2,Cashier User,3,2025-10-26,2025,10,26,6,43,1
55,2025-10-26 09:00:00,22500.0,15650.0,6850.0,2,Cashier User,4,2025-10-26,2025,10,26,6,43,1
64,2025-10-26 09:00:00,12500.0,8350.0,4150.0,2,Cashier User,2,2025-10-26,2025,10,26,6,43,1
52,2025-10-26 10:00:00,15000.0,10150.0,4850.0,2,Cashier User,2,2025-10-26,2025,10,26,6,43,1
63,2025-10-26 10:00:00,18000.0,11600.0,6400.0,2,Cashier User,4,2025-10-26,2025,10,26,6,43,1
66,2025-10-26 10:00:00,58500.0,45650.0,12850.0,2,Cashier User,4,2025-10-26,2025,10,26,6,43,1
71,2025-10-26 10:00:00,5000.0,3600.0,1400.0,1,Shop Owner,1,2025-10-26,2025,10,26,6,43,1
53,2025-10-26 11:00:00,15500.0,11900.0,3600.0,1,Shop Owner,2,2025-10-26,2025,10,26,6,43,1
58,2025-10-26 11:00:00,28000.0,20250.0,7750.0,1,Shop Owner,3,2025-10-26,2025,10,26,6,43,1
49,2025-10-26 12:00:00,10000.0,7200.0,2800.0,2,Cashier User,3,2025-10-26,2025,10,26,6,43,1
51,2025-10-26 12:00:00,16000.0,13000.0,3000.0,1,Shop Owner,1,2025-10-26,2025,10,26,6,43,1
62,2025-10-26 12:00:00,20500.0,15500.0,5000.0,2,Cashier User,2,2025-10-26,2025,10,26,6,43,1
70,2025-10-26 12:00:00,7500.0,5400.0,2100.0,2,Cashier User,1,2025-10-26,2025,10,26,6,43,1
56,2025-10-26 13:00:00,14000.0,9950.0,4050.0,1,Shop Owner,2,2025-10-26,2025,10,26,6,43,1
61,2025-10-26 13:00:00,46000.0,36300.0,9700.0,2,Cashier User,3,2025-10-26,2025,10,26,6,43,1
74,2025-10-26 13:00:00,14500.0,9500.0,5000.0,2,Cashier User,4,2025-10-26,2025,10,26,6,43,1
