sale_id,date,product_id,product_name,category,quantity,unit_price
1,2026-04-23,1,Coca-Cola 500ml,Beverage,2,1500.0
1,2026-04-23,2,Pepsi 500ml,Beverage,1,1500.0
2,2026-04-23,1,Coca-Cola 500ml,Beverage,3,1500.0
3,2026-04-23,1,Coca-Cola 500ml,Beverage,1,1500.0
4,2026-04-23,1,Coca-Cola 500ml,Beverage,1,1500.0
49,2025-10-26,4,Notebook A4,Stationery,1,2500.0
49,2025-10-26,4,Notebook A4,Stationery,2,2500.0
49,2025-10-26,4,Notebook A4,Stationery,1,2500.0
50,2025-10-26,2,Pepsi 500ml,Beverage,2,1500.0
50,2025-10-26,1,Coca-Cola 500ml,Beverage,2,1500.0
50,2025-10-26,4,Notebook A4,Stationery,5,2500.0
51,2025-10-26,3,White Rice 5kg,Grocery,2,8000.0
52,2025-10-26,2,Pepsi 500ml,Beverage,5,1500.0
52,2025-10-26,4,Notebook A4,Stationery,3,2500.0
53,2025-10-26,4,Notebook A4,Stationery,3,2500.0
53,2025-10-26,3,White Rice 5kg,Grocery,1,8000.0
54,2025-10-26,3,White Rice 5kg,Grocery,2,8000.0
55,2025-10-26,4,Notebook A4,Stationery,4,2500.0
55,2025-10-26,1,Coca-Cola 500ml,Beverage,2,1500.0
55,2025-10-26,2,Pepsi 500ml,Beverage,3,1500.0
55,2025-10-26,4,Notebook A4,Stationery,2,2500.0
56,2025-10-26,4,Notebook A4,Stationery,5,2500.0
56,2025-10-26,2,Pepsi 500ml,Beverage,1,1500.0
57,2025-10-26,3,White Rice 5kg,Grocery,2,8000.0
57,2025-10-26,4,Notebook A4,Stationery,2,2500.0
57,2025-10-26,4,Notebook A4,Stationery,2,2500.0
57,2025-10-26,3,White Rice 5kg,Grocery,2,8000.0
58,2025-10-26,2,Pepsi 500ml,Beverage,5,1500.0
58,2025-10-26,3,White Rice 5kg,Grocery,1,8000.0
58,2025-10-26,4,Notebook A4,Stationery,5,2500.0
59,2025-10-26,3,White Rice 5kg,Grocery,3,8000.0
59,2025-10-26,1,Coca-Cola 500ml,Beverage,2,1500.0
59,2025-10-26,3,White Rice 5kg,Grocery,2,8000.0
59,2025-10-26,3,White Rice 5kg,Grocery,1,8000.0
